author,content,lxical richness,segement length,sentence length,Nounword,Verbword,Adjectiveword,determinerword,numeral,adverb,To_word,preposition,comma,fullStop,pronun,WH_pronun,questionMark,semicolon,exclamationMark
AaronPressman,421829newsML.txt,0.485207101,165.3478261,108.6571429,0.289940828,0.173076923,0.053254438,0.107988166,0.013313609,0.041420118,0.025147929,0.094674556,0.051775148,0.041420118,0,0,0,0,0
AaronPressman,424074newsML.txt,0.561038961,154,107.8,0.296103896,0.135064935,0.083116883,0.106493506,0.049350649,0.028571429,0.015584416,0.124675325,0.044155844,0.038961039,0,0,0,0,0
AaronPressman,42764newsML.txt,0.47766323,188.6176471,130.877551,0.325601375,0.145189003,0.067010309,0.112542955,0.02233677,0.036941581,0.024054983,0.116838488,0.048969072,0.0395189,0,0,0,0,0
AaronPressman,43033newsML.txt,0.609289617,159.2142857,131.1176471,0.371584699,0.133879781,0.06557377,0.101092896,0.008196721,0.030054645,0.024590164,0.103825137,0.057377049,0.038251366,0,0,0,0,0
AaronPressman,433558newsML.txt,0.483870968,222.3157895,96,0.330322581,0.138064516,0.054193548,0.105806452,0.012903226,0.041290323,0.032258065,0.122580645,0.052903226,0.04,0,0,0,0,0
AaronPressman,436774newsML.txt,0.535496957,190.0666667,118.7916667,0.302231237,0.133874239,0.097363083,0.09127789,0.024340771,0.022312373,0.018255578,0.115618661,0.060851927,0.038539554,0,0,0,0,0
AaronPressman,439561newsML.txt,0.475247525,171.65,100.9705882,0.328382838,0.130363036,0.077557756,0.089108911,0.03960396,0.034653465,0.018151815,0.135313531,0.041254125,0.037953795,0,0,0,0,0
AaronPressman,450383newsML.txt,0.492131617,160.64,138.4827586,0.363376252,0.128755365,0.052932761,0.105865522,0.011444921,0.034334764,0.024320458,0.103004292,0.055793991,0.040057225,0,0,0,0,0
AaronPressman,450788newsML.txt,0.533477322,170.5625,136.45,0.362850972,0.114470842,0.071274298,0.103671706,0.012958963,0.030237581,0.025917927,0.101511879,0.056155508,0.03887689,0,0,0,0,0
AaronPressman,466275newsML.txt,0.575757576,176.9285714,130.3684211,0.31002331,0.142191142,0.060606061,0.114219114,0.041958042,0.037296037,0.03030303,0.086247086,0.044289044,0.037296037,0,0,0,0,0
AaronPressman,469448newsML.txt,0.473029046,200.0909091,115.8421053,0.333333333,0.156293223,0.067773167,0.109266943,0.004149378,0.034578147,0.038727524,0.10373444,0.048409405,0.04011065,0,0,0,0,0
AaronPressman,478157newsML.txt,0.506566604,168.1764706,105.8888889,0.318949343,0.148217636,0.063789869,0.091932458,0.041275797,0.045028143,0.024390244,0.09380863,0.061913696,0.04315197,0,0,0,0,0
AaronPressman,479564newsML.txt,0.504743833,177.5625,105.2222222,0.322580645,0.149905123,0.064516129,0.092979127,0.039848197,0.045540797,0.024667932,0.09487666,0.062618596,0.043643264,0,0,0,0,0
AaronPressman,482034newsML.txt,0.533980583,184.5625,123.0416667,0.310679612,0.14368932,0.089320388,0.099029126,0.017475728,0.033009709,0.031067961,0.104854369,0.05631068,0.040776699,0,0,0,0,0
AaronPressman,486982newsML.txt,0.47768595,194.1111111,134.3846154,0.327272727,0.148760331,0.07768595,0.085950413,0.003305785,0.041322314,0.031404959,0.104132231,0.056198347,0.034710744,0,0,0,0,0
AaronPressman,491060newsML.txt,0.536474164,189.85,108.4857143,0.337386018,0.167173252,0.044072948,0.104863222,0.016717325,0.02887538,0.022796353,0.11550152,0.041033435,0.037993921,0,0,0,0,0
AaronPressman,491643newsML.txt,0.517094017,202.8,119.2941176,0.319088319,0.170940171,0.055555556,0.105413105,0.027065527,0.02991453,0.027065527,0.121082621,0.035612536,0.037037037,0,0,0,0,0
AaronPressman,492068newsML.txt,0.461279461,183.9615385,116.6585366,0.248035915,0.179573513,0.058361392,0.102132435,0.04040404,0.034792368,0.024691358,0.097643098,0.051627385,0.04040404,0,0,0,0,0
AaronPressman,492770newsML.txt,0.48125,166.6818182,107.8529412,0.346875,0.1328125,0.084375,0.1109375,0.015625,0.0265625,0.01875,0.0890625,0.0640625,0.0375,0,0,0,0,0
AaronPressman,493876newsML.txt,0.478978979,170.9545455,96.43589744,0.334834835,0.142642643,0.088588589,0.105105105,0.016516517,0.033033033,0.016516517,0.07957958,0.067567568,0.040540541,0,0,0,0,0
AaronPressman,493995newsML.txt,0.508561644,169.2105263,114.8214286,0.303082192,0.15239726,0.078767123,0.101027397,0.01369863,0.034246575,0.020547945,0.092465753,0.066780822,0.042808219,0,0,0,0,0
AaronPressman,494466newsML.txt,0.48125,166.6818182,107.8529412,0.346875,0.1328125,0.084375,0.1109375,0.015625,0.0265625,0.01875,0.0890625,0.0640625,0.0375,0,0,0,0,0
